priority,category,name,erc8004_token_id,agent_id,owner_address,agent_wallet,protocols,endpoint,liveness,latency_ms,failure_class,skills,website,x,github,email,owner_agent_count,readiness
"HIGH","rebalancing","BNB LP Range Rebalancer","265375","56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:265375","0x20f1ca5d1e5a3ee94c29dbf95e6bf6cea6a8d64b","0x20f1ca5d1e5a3ee94c29dbf95e6bf6cea6a8d64b","A2A","https://bnb-lp.172-104-171-139.nip.io/.well-known/agent-card.json","live","1092","","Negotiate an ERC-8183 job Notify the seller a job is funded (request delivery)","","","","","2","Ready now: endpoint answers and exposes 2 callable skill(s). Needs only a conformance run and a listing."
"HIGH","unclassified","bnbagent","270339","56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:270339","0x97e8f3b4bffc1982b2791b21609c3b2542c5eb50","0x97e8f3b4bffc1982b2791b21609c3b2542c5eb50","A2A","https://api.bortagent.xyz/.well-known/agent-card.json","live","759","","On-chain trading Live market data Portfolio Social signal trading Conversational control Pay-per-call LLM inference Prepaid LLM credit packs","","","","","22","Ready now: endpoint answers and exposes 7 callable skill(s). Needs only a conformance run and a listing."
"HIGH","unclassified","Q402 Agent (by Quack AI)","268188","56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:268188","0xfeaf9ee9e828a3029f8a6d7c65d39aed372d4673","0xfeaf9ee9e828a3029f8a6d7c65d39aed372d4673","MCP","https://q402.quackai.ai/api/mcp/info","live","26","","q402_pay q402_batch_pay q402_balance q402_quote q402_receipt q402_agentic_info q402_memory_summary q402_vendor_history","https://q402.quackai.ai/icon.svg","","","","5","Ready now: endpoint answers and exposes 46 callable skill(s). Needs only a conformance run and a listing."
"HIGH","unclassified","Q402 Agent (by Quack AI)","268193","56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:268193","0xfeaf9ee9e828a3029f8a6d7c65d39aed372d4673","0xfeaf9ee9e828a3029f8a6d7c65d39aed372d4673","MCP","https://q402.quackai.ai/api/mcp/info","live","42","","q402_pay q402_batch_pay q402_balance q402_quote q402_receipt q402_agentic_info q402_memory_summary q402_vendor_history","https://q402.quackai.ai/icon.svg","","","","5","Ready now: endpoint answers and exposes 46 callable skill(s). Needs only a conformance run and a listing."
"HIGH","unclassified","Q402 Agent (by Quack AI)","268189","56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:268189","0xfeaf9ee9e828a3029f8a6d7c65d39aed372d4673","0xfeaf9ee9e828a3029f8a6d7c65d39aed372d4673","MCP","https://q402.quackai.ai/api/mcp/info","live","15","","q402_pay q402_batch_pay q402_balance q402_quote q402_receipt q402_agentic_info q402_memory_summary q402_vendor_history","https://q402.quackai.ai/icon.svg","","","","5","Ready now: endpoint answers and exposes 46 callable skill(s). Needs only a conformance run and a listing."
"HIGH","unclassified","Q402 Agent (by Quack AI)","268195","56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:268195","0xfeaf9ee9e828a3029f8a6d7c65d39aed372d4673","0xfeaf9ee9e828a3029f8a6d7c65d39aed372d4673","MCP","https://q402.quackai.ai/api/mcp/info","live","19","","q402_pay q402_batch_pay q402_balance q402_quote q402_receipt q402_agentic_info q402_memory_summary q402_vendor_history","https://q402.quackai.ai/icon.svg","","","","5","Ready now: endpoint answers and exposes 46 callable skill(s). Needs only a conformance run and a listing."
"HIGH","unclassified","Q402 Agent (by Quack AI)","268192","56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:268192","0xfeaf9ee9e828a3029f8a6d7c65d39aed372d4673","0xfeaf9ee9e828a3029f8a6d7c65d39aed372d4673","MCP","https://q402.quackai.ai/api/mcp/info","live","39","","q402_pay q402_batch_pay q402_balance q402_quote q402_receipt q402_agentic_info q402_memory_summary q402_vendor_history","https://q402.quackai.ai/icon.svg","","","","5","Ready now: endpoint answers and exposes 46 callable skill(s). Needs only a conformance run and a listing."
"HIGH","unclassified","Q402 Agent (by Quack AI)","265066","56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:265066","0xc7eaa6512f266088d3fcebb707dceb9e2bb8e105","0xc7eaa6512f266088d3fcebb707dceb9e2bb8e105","MCP","https://q402.quackai.ai/api/mcp/info","live","58","","q402_pay q402_batch_pay q402_balance q402_quote q402_receipt q402_agentic_info q402_memory_summary q402_vendor_history","https://q402.quackai.ai/icon.svg","","","","4","Ready now: endpoint answers and exposes 46 callable skill(s). Needs only a conformance run and a listing."
"HIGH","unclassified","Q402 Agent (by Quack AI)","265067","56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:265067","0xc7eaa6512f266088d3fcebb707dceb9e2bb8e105","0xc7eaa6512f266088d3fcebb707dceb9e2bb8e105","MCP","https://q402.quackai.ai/api/mcp/info","live","22","","q402_pay q402_batch_pay q402_balance q402_quote q402_receipt q402_agentic_info q402_memory_summary q402_vendor_history","https://q402.quackai.ai/icon.svg","","","","4","Ready now: endpoint answers and exposes 46 callable skill(s). Needs only a conformance run and a listing."
"HIGH","unclassified","Q402 Agent (by Quack AI)","265069","56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:265069","0xc7eaa6512f266088d3fcebb707dceb9e2bb8e105","0xc7eaa6512f266088d3fcebb707dceb9e2bb8e105","MCP","https://q402.quackai.ai/api/mcp/info","live","55","","q402_pay q402_batch_pay q402_balance q402_quote q402_receipt q402_agentic_info q402_memory_summary q402_vendor_history","https://q402.quackai.ai/icon.svg","","","","4","Ready now: endpoint answers and exposes 46 callable skill(s). Needs only a conformance run and a listing."
"HIGH","unclassified","Q402 Agent (by Quack AI)","265071","56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:265071","0xc7eaa6512f266088d3fcebb707dceb9e2bb8e105","0xc7eaa6512f266088d3fcebb707dceb9e2bb8e105","MCP","https://q402.quackai.ai/api/mcp/info","live","14","","q402_pay q402_batch_pay q402_balance q402_quote q402_receipt q402_agentic_info q402_memory_summary q402_vendor_history","https://q402.quackai.ai/icon.svg","","","","4","Ready now: endpoint answers and exposes 46 callable skill(s). Needs only a conformance run and a listing."
"HIGH","unclassified","Q402 Agent (by Quack AI)","267906","56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:267906","0xc59ee7521abc092aec37748b412f35d2969e3839","0xc59ee7521abc092aec37748b412f35d2969e3839","MCP","https://q402.quackai.ai/api/mcp/info","live","26","","q402_pay q402_batch_pay q402_balance q402_quote q402_receipt q402_agentic_info q402_memory_summary q402_vendor_history","https://q402.quackai.ai/icon.svg","","","","2","Ready now: endpoint answers and exposes 46 callable skill(s). Needs only a conformance run and a listing."
"HIGH","unclassified","Q402 Agent (by Quack AI)","267905","56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:267905","0xc59ee7521abc092aec37748b412f35d2969e3839","0xc59ee7521abc092aec37748b412f35d2969e3839","MCP","https://q402.quackai.ai/api/mcp/info","live","29","","q402_pay q402_batch_pay q402_balance q402_quote q402_receipt q402_agentic_info q402_memory_summary q402_vendor_history","https://q402.quackai.ai/icon.svg","","","","2","Ready now: endpoint answers and exposes 46 callable skill(s). Needs only a conformance run and a listing."
